id,model,noMesin,noRangka,noPolisi,deliveryDate
727,AVANZA 1.3,1NRF451790,MHKM5EA3JJK119976,,2018-11-23
728,HILUX,-,MR0KB8CD3J1207463,,2019-04-11
728,INNOVA ,-,MHFJW8EM2K2368768,,2019-04-11
728,INNOVA,-,MHFJW8EM8K2369312,,2019-04-11
728,FORTUNER,-,MHFHB3FSXK0036003,,2019-03-28
728,INNOVA,-,MHFJW8EM7K2366434,,2019-03-28
729,RUSH,-,MHKE8FA3JKK023323,,2019-03-28
729,RUSH,-,MHKE8FA3JKK023768,,2019-03-28
729,RUSH,-,MHKE8FA3JKK025958,,2019-03-28
730,INNOVA BENSIN G M/T,-,MHFJW8EM4L2381930,,2020-10-13
730,INNOVA BENSIN G M/T,-,MHFJW8EMXL2381835,,2020-10-13
730,INNOVA BENSIN G M/T,-,MHFJW8EM5L2381774,,2020-10-14
731,AVANZA 1.3,1NRF380831,MHKM5EA3JJK097343,,2018-06-20
731,AVANZA 1.5,2NRF658821,MHKM5FA4JJK039588,,2018-05-23
732,AVANZA 1.5 VELOZ A/T,-,MHKM5FB4JLK028265,,2020-04-22
733,AVANZA 1.3,1NRF392657,MHKM5EA3JJK101217,,2018-07-17
733,AVANZA ,-,MHKM5EA3JHK071317,,30/11/17
734,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB6L0209167,,2020-06-16
735,HIACE COMMUTER M/T,-,JTFSS22P6K0186744,,2019-10-30
735,HIACE COMMUTER M/T,-,JTFSS22P7K0186574,,2019-10-30
736,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CDXL1123840,,2020-04-04
737,HILUX,-,MR0KB8CD0H1116368,,2017-11-17
738,AVANZA ,-,MHKM5EA3JJK127688,,2019-07-23
738,AVANZA ,-,MHKM5EA3JJK127218,,2019-07-23
739,AVANZA ,-,MHKM5FB4JKK021677,,2019-07-09
739,INNOVA BENSIN G M/T,-,MHFJW8EM2K2374053,,2019-12-31
740,INNOVA BENSIN,-,MHFJW8EMXJ2361937,,2019-02-07
741,INNOVA BENSIN,-,MHFJW8EM5J2361618,,2019-02-06
742,INNOVA BENSIN G M/T,-,MHFJW8EM0L2383738,,2020-10-30
742,INNOVA BENSIN G M/T,-,MHFJW8EM6L2383680,,2020-10-30
742,INNOVA BENSIN G M/T,-,MHFJW8EMXL2383682,,2020-10-30
743,AVANZA 1.5 VELOZ A/T,-,MHKM5FB4JKK023953,,2019-07-31
743,AVANZA 1.5 VELOZ A/T,-,MHKM5FB4JKK024464,,2019-07-31
744,HILUX,-,MR0DB8CD6K0120625,,2019-07-26
744,HILUX,-,MR0DB8CD5K0120616,,2019-07-04
744,HILUX,-,MR0KB8CD3K1121751,,2019-07-04
744,HILUX,-,MR0KB8CD5K1209099,,2019-07-26
745,FORTUNER 4X2 DIESEL VRZ A/T TRD,-,MHFGB8GS0L0912635,,2020-08-12
746,HILUX,-,MR0KB8CD2J1205980,,2018-09-04
747,INNOVA,-,MHFJW8EM3J2346146,,2018-04-23
748,AVANZA 1.3 G M/T,-,MHKM5EA3JKK139249,,2020-03-12
748,AVANZA 1.3 G M/T,-,MHKM5EA3JKK161743,,2020-03-16
749,AVANZA 1.3,1NRF268161,MHKM5EA3JHK063659,,2017-04-06
749,AVANZA 1.3,1NRF254396,MHKM5EA3JHK059511,,2017-04-21
749,AVANZA 1.3,1NRF270810,MHKM5EA3JHK064346,,2017-04-29
749,AVANZA 1.3,1NRF273078,MHKM5EA3JHK065247,,2017-05-02
749,AVANZA 1.3,1NRF237871,MHKM5EA3JHK053038,,2017-05-03
749,AVANZA 1.3,1NRF255725,MHKM5EA3JHK059937,,2017-05-05
750,FORTUNER 4X2 DIESEL G M/T,-,MHFJB8GS3L1578505,,2020-05-30
751,HIACE COMMUTER,-,JTFSS22P1H0166278,,2017-11-18
751,HIACE COMMUTER,-,JTFSS22P8H0166746,,2017-11-18
751,HILUX,-,MR0KB8CD1H1203891,,2017-12-20
752,HILUX PICK UP 2.5 DIESEL M/T,-,MR0ES8BB6K0064965,,2020-02-08
753,FORTUNER,-,MHFZR69G5C30XXXXX,,2013-02-01
754,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK063740,,2020-04-18
754,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK063778,,2020-04-18
754,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK064128,,2020-04-18
755,AVANZA 1.5 VELOZ M/T,-,MHKM5FA4JLK063761,,2020-04-11
756,HILUX DC G M/T DIESEL,-,MR0KS8CD4H1035793,,2017-07-26
756,HILUX DC G M/T DIESEL,-,MR0KS8CD4H1104241,,2017-07-26
756,HILUX DC G M/T DIESEL,-,MR0KS8CD0H1104477,,2017-07-26
756,AVANZA 1.3 E M/T,-,MHKM5EA2JHK026575,,2017-07-26
756,AVANZA 1.3 E M/T,-,MHKM5EA2JHK026358,,2017-07-26
756,HILUX DC G M/T DIESEL,-,MR0KS8CD7G1035463,,2017-07-26
756,HILUX DC G M/T DIESEL,-,MR0KS8CD3H1104506,,2017-07-26
757,HILUX DOUBLE CABIN 2.5 DIESEL,-,MR0KS8CD7G1034815,,2016-11-22
757,HILUX DOUBLE CABIN 2.5 DIESEL,-,MR0KS8CD8G1103186,,2016-11-22
